/home/sundoggie/sembach/dog2/vela_6413/hd74455/hd74455_1304370.dat
1-d GHRS image created 27-Jan-1999 16:54:34.00 by IMSAVE(v5.1)
0 data pairs flagged bad
 
OBJECT =                                HD 74455  / Object
COMMENT=                     HD 74455  z37j0307t  / Object comment
ION    =                                   SI II  / Ion
WAVC   =                                1304.370  / Laboratory wavelength
MAPI   =                                      -1  / Original map number
ORDER  =                                      43  / Order number
NPTS   =                                    2000  / Length of array
XTITLE =                                          / X axis title
YTITLE =                Net Count Rate per Diode  / Y axis title
AXFLAG =                                      -1  / Axis flag
SMFLAG =                                       0  / Smoothing flag
TAFLAG =                                       0  / Tau plot flag
;Update History:
;GHRS_PLTS(v4.0)::  hd74455_1304370.dat  8-May-1997 15:41:20.00
;GHRS_PLTS(v4.0)::  HD 74455  z37j0307t
;GHRS_PLTS(v4.0)::  Scattered light correction [c,d] = [0.000,0.040]
;GHRS_PLTS(v4.0)::  FPN template = NONE
;GHRS_PLTS(v4.0)::  FP-SPLIT Offsets (if known)
;GHRS_PLTS(v4.0)::  -0.00 18.83
;GHRS_PLTS(v4.0)::  FP-SPLIT merge method = Sync interpolation
;GHRS_PLTS(v4.0)::  HST Archive ID = z37j0307t
;IMREAD(v5.0)::  /home/sundoggie/sembach/dog2/vela_6413/hd74455/../hd74455_1304370.dat 27-Jan-1999 16:54:31.00
;SHIFT_HD74455:: Shift applied = -12.8699 km/sec  27-Jan-1999 16:54:34.00
-------------------------------------------------------------------------------
 -9.34927291E+02  1.04456039E+02
 -9.34127608E+02  1.08766434E+02
 -9.33327926E+02  1.07334198E+02
 -9.32528243E+02  1.04056885E+02
 -9.31728560E+02  1.08307449E+02
 -9.30928939E+02  1.08125519E+02
 -9.30129317E+02  1.06264091E+02
 -9.29329696E+02  1.06251930E+02
 -9.28530074E+02  1.05316071E+02
 -9.27730453E+02  1.06804649E+02
 -9.26930892E+02  1.04425194E+02
 -9.26131331E+02  1.06098450E+02
 -9.25331771E+02  1.04832787E+02
 -9.24532271E+02  1.10137596E+02
 -9.23732711E+02  1.04342133E+02
 -9.22933211E+02  1.06106834E+02
 -9.22133712E+02  1.02496140E+02
 -9.21334212E+02  1.01563957E+02
 -9.20534774E+02  1.02612625E+02
 -9.19735335E+02  1.03849106E+02
 -9.18935836E+02  1.04293922E+02
 -9.18136458E+02  1.03175468E+02
 -9.17337020E+02  1.07279961E+02
 -9.16537642E+02  1.00848427E+02
 -9.15738265E+02  1.04160500E+02
 -9.14938888E+02  1.02294487E+02
 -9.14139510E+02  1.03161804E+02
 -9.13340194E+02  1.04591484E+02
 -9.12540877E+02  1.00457268E+02
 -9.11741500E+02  1.03493156E+02
 -9.10942245E+02  1.03932198E+02
 -9.10142928E+02  1.03600204E+02
 -9.09343673E+02  1.02496552E+02
 -9.08544417E+02  1.06370483E+02
 -9.07745162E+02  1.01752632E+02
 -9.06945968E+02  1.04464302E+02
 -9.06146712E+02  1.03493248E+02
 -9.05347518E+02  1.02322548E+02
 -9.04548324E+02  1.04125771E+02
 -9.03749129E+02  1.02938828E+02
 -9.02949996E+02  1.02455406E+02
 -9.02150863E+02  1.02275963E+02
 -9.01351729E+02  1.00921112E+02
 -9.00552596E+02  1.00414940E+02
 -8.99753463E+02  9.98834839E+01
 -8.98954391E+02  1.00095749E+02
 -8.98155318E+02  9.61357193E+01
 -8.97356246E+02  9.77715149E+01
 -8.96557174E+02  1.00367645E+02
 -8.95758162E+02  1.00647339E+02
 -8.94959090E+02  1.00977089E+02
 -8.94160140E+02  9.79868851E+01
 -8.93361129E+02  9.89525146E+01
 -8.92562118E+02  9.97203598E+01
 -8.91763167E+02  9.85894699E+01
 -8.90964217E+02  9.96130295E+01
 -8.90165267E+02  1.00564140E+02
 -8.89366378E+02  1.01498695E+02
 -8.88567428E+02  9.99555206E+01
 -8.87768538E+02  9.65962524E+01
 -8.86969649E+02  1.00678467E+02
 -8.86170821E+02  1.00893555E+02
 -8.85371932E+02  9.87721405E+01
 -8.84573104E+02  9.88355255E+01
 -8.83774276E+02  9.67052383E+01
 -8.82975448E+02  9.92357941E+01
 -8.82176620E+02  9.99888687E+01
 -8.81377852E+02  9.69075699E+01
 -8.80579085E+02  9.80661011E+01
 -8.79780318E+02  9.78304520E+01
 -8.78981612E+02  1.00119461E+02
 -8.78182845E+02  1.02146576E+02
 -8.77384139E+02  9.88518982E+01
 -8.76585433E+02  9.93083344E+01
 -8.75786727E+02  9.62653503E+01
 -8.74988082E+02  9.77625580E+01
 -8.74189376E+02  9.46338882E+01
 -8.73390731E+02  9.78275375E+01
 -8.72592086E+02  9.78842926E+01
 -8.71793502E+02  1.04945442E+02
 -8.70994918E+02  1.00209496E+02
