FeII   1133.6654       3.06E+07  4.72E-03  -1.326  0.728	
FeII   1608.4511       2.74E+08  5.77E-02  -0.239  1.968  0.026
FeII   1611.2005       2.86E+08  1.38E-03  -1.860  0.347  0.08 
FeII   2382.7652       3.13E+08  3.20E-01   0.505  2.882  0.005
FeII   2600.1729       2.70E+08  2.39E-01   0.378  2.793  0.007
FeII   1127.0984       5.89E+06  1.12E-03  -1.950  0.102       
FeII   1121.9748       1.92E+08  2.90E-02  -0.538  1.512       
FeII   1112.0480       2.00E+07  4.46E-03  -1.351  0.695       
FeII   1096.8769       2.26E+08  3.27E-02  -0.486  1.554       
FeII   1083.4204       1.59E+07  2.80E-03  -1.553  0.482       
FeII   1081.8748       5.98E+07  1.26E-02  -0.900  1.134       
FeII   1063.9718       3.50E+07  4.75E-03  -1.323  0.704       
FeII   1063.1764       3.23E+08  5.47E-02  -0.262  1.765       
FeII   1055.2617       4.61E+07  6.15E-03  -1.211  0.812       
FeIII  1122.524        3.70E+08  5.44E-02  -0.310  1.786       
SII    1259.518        4.65E+07  1.66E-02  -1.178  1.320  0.04 
SII    1253.805        4.62E+07  1.09E-02  -1.361  1.136  0.04 
SII    1250.578        4.63E+07  5.43E-03  -1.663  0.832  0.04 
S_III  1190.203        6.65E+07  2.37E-02  -1.626  1.449  0.02 
SIII   1012.495        2.81E+08  4.38E-02  -1.359  1.647  0.09 
SIII   724.2890        1e8	 0.352E+00  0.000E+00	9.68  12
SIII   698.7310        1e8	 0.783E+00  0.000E+00  10.01  12
SIII   681.4700        1e8	 0.683E-01  0.000E+00	8.94  12
SIII   677.7460        1e8	 0.164E+01  0.000E+00  10.32  12
SIV    1062.664        1.69E+08  4.94E-02  -1.005  1.720       
SIV    809.6680        1e8	 0.104E+00  0.000E+00	9.20   2
SIV    748.4000        1e8	 0.500E+00  0.000E+00	9.84   2
SIV    744.9070        1e8	 0.251E+00  0.000E+00	9.54   2
SIV    657.3400        1e8	 0.118E+01  0.000E+00  10.16   2
SV     786.4800        1e8	 0.142E+01  0.146E+01  10.32   2
SVI    944.523         1.61E+09  2.15E-01 
SVI    933.378         1.67E+09  4.37E-01 
ArI    1066.6598       1.32E+08  6.75E-02  -1.171  1.857  0.005
ArI    1048.2199       3.18E+07  2.63E-01  -0.580  2.440  0.004
ArII   919.7810        1e8	 0.181E-01  0.887E-02	7.78   1
ArII   740.2691        1e8	 0.250E-02  0.250E-02	6.83   2
ArII   723.3605        1e8	 0.181E+00  0.180E+00	8.68   2
ArII   718.0898        1e8	 0.364E-01  0.370E-01	7.98   2
ArII   672.8562        1e8	 0.866E-02  0.000E+00	7.33   2
ArII   671.8513        1e8	 0.781E-01  0.000E+00	8.28   2
ArII   664.5622        1e8	 0.877E-02  0.000E+00	7.33   2
